24  467.592 0.980372 129.579 -0.546662  467.917 0.952469 129.435 -0.40945  467.5 0.980372 125.957 -0.820031  467.408 0.960257 147.093 1.11757  
25  467.657 0.962681 186.443 -0.00362626  468.089 0.95078 135.315 -0.99771  467.04 0.960979 163.639 -0.343955  467.626 0.948431 161.774 -0.101913  
26  467.165 0.962728 173.916 0.0328554  467.942 0.954224 130.387 -0.383488  466.926 0.961511 165.619 -0.127878  467.207 0.940059 136.684 1.6018  
27  467.672 0.968009 158.993 0.35993  467.832 0.958814 128.056 0.484922  467.794 0.959316 133.058 -0.672063  468.25 0.95077 130.822 -1.44308  
28  468.007 0.972852 122.962 0.0134763  467.574 0.966801 155.39 0.0667253  467.969 0.957198 129.563 -0.329841  467.531 0.945567 171.331 0.100103  
29  467.843 0.976082 131.609 -0.082236  468.006 0.95303 124.658 -0.552072  467.913 0.953473 134.126 -0.0379049  467.89 0.935623 121.835 -0.127874  
30  467.791 0.976364 137.039 0.0640608  468.109 0.95029 138.796 -1.2584  467.967 0.958026 129.743 -0.473727  467.508 0.948004 176.278 0.0541973  
31  467.899 0.973966 128.988 0.0275761  467.607 0.945957 171.087 0.103447  467.663 0.965842 165.256 0.140789  468.132 0.933228 117.853 -0.757271  
32  467.869 0.975425 131.959 -0.00235228  467.912 0.954343 125.688 -0.281552  467.74 0.980185 124.297 -0.269937  467.351 0.943953 183.62 0.649267  
33  467.667 0.980096 124.744 -0.453389  467.758 0.958822 131.713 0.436319  467.848 0.9591 128.245 -0.739724  466.874 0.940087 135.134 2.56787  
34  467.67 0.968633 168.891 0.425433  467.408 0.96268 173.721 0.640935  467.676 0.967029 164.504 0.207699  467.566 0.948553 165.584 -0.193015  
35  468.044 0.988479 126.927 -0.817616  466.568 0.961032 156.464 2.84878  467.826 0.984717 131.743 -0.124482  467.332 0.963421 179.27 0.784825  
36  467.683 0.966275 174.856 0.0925265  468.172 0.95134 133.341 -1.08725  467.683 0.967964 174.455 0.305922  467.573 0.948079 174.323 -0.0634912  
37  468.044 0.971313 137.298 0.18652  467.98 0.954282 122.271 -0.394875  467.278 0.961231 162.257 -0.172437  467.997 0.953722 124.468 -0.489976  
38  467.963 0.970947 136.75 0.110509  467.726 0.949358 161.462 -0.756144  467.202 0.960875 168.021 -0.294891  467.628 0.945145 174.167 0.100563  
39  467.426 0.960348 150.903 -0.489651  467.577 0.948995 183.707 -0.293967  467.788 0.955169 138.466 0.0647542  467.093 0.940339 153.767 1.69722  
40  467.636 0.98014 129.282 -0.495767  467.417 0.960031 142.867 1.21537  467.933 0.96986 140.769 0.611606  468.135 0.951955 131.552 -0.922272  
41  467.958 0.973495 134.675 -0.035931  467.789 0.978166 122.664 -0.0195704  468 0.971015 139.084 0.12683  467.519 0.959915 137.907 1.02305  
